symbolicName,state,fragment,version
be.kpngroup.cq-stubs-mms-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-mms-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-omsepc-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-omsepc-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-openidconnect-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-openidconnect-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-postnl-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-postnl-stub (Other),Active,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-voicemail-stub (Base),Resolved,False,1.32.0.SNAPSHOT
be.kpngroup.cq-stubs-voicemail-stub (Other),Active,False,1.32.0.SNAPSHOT
com.adobe.cq.mobile.cq-mobile-core (Base),Active,False,6.2.148
com.adobe.cq.mobile.cq-mobile-core (Other),Active,False,6.2.146
com.adobe.cq.mobile.cq-mobile-dps (Base),Active,False,1.0.74
com.adobe.cq.mobile.cq-mobile-dps (Other),Active,False,1.0.72
com.adobe.cq.cq-pre-upgrade-backup (Base),Resolved,False,6.2.8
com.adobe.cq.cq-pre-upgrade-backup (Other),Installed,False,6.2.8
com.adobe.cq.cq-product-info-provider (Base),Active,False,6.2.0.SP1
com.adobe.cq.cq-product-info-provider (Other),Active,False,6.2.0
com.day.cq.mcm.cq-mcm-campaign (Base),Active,False,1.1.50
com.day.cq.mcm.cq-mcm-campaign (Other),Active,False,1.1.48
com.day.cq.cq-audit (Base),Active,False,6.0.10
com.day.cq.cq-audit (Other),Active,False,6.0.0
com.day.cq.cq-compat-codeupgrade (Base),Resolved,False,1.5.68
com.day.cq.cq-compat-codeupgrade (Other),Installed,False,1.5.68
com.day.cq.cq-commons (Base),Active,False,5.9.24
com.day.cq.cq-commons (Other),Active,False,5.9.22
com.day.cq.dam.cq-dam-api (Base),Active,False,5.9.48
com.day.cq.dam.cq-dam-api (Other),Active,False,5.9.46
com.day.cq.dam.cq-dam-handler (Base),Active,False,5.9.34
com.day.cq.dam.cq-dam-handler (Other),Active,False,5.9.26
com.day.cq.dam.cq-dam-commons (Base),Active,False,5.9.118
com.day.cq.dam.cq-dam-commons (Other),Active,False,5.9.108
com.day.cq.dam.cq-dam-core (Base),Active,False,5.9.168
com.day.cq.dam.cq-dam-core (Other),Active,False,5.9.144
com.day.cq.dam.cq-dam-indesign (Base),Active,False,5.9.28
com.day.cq.dam.cq-dam-indesign (Other),Active,False,5.9.20
com.day.cq.dam.cq-dam-scene7 (Base),Active,False,5.9.56
com.day.cq.dam.cq-dam-scene7 (Other),Active,False,5.9.48
com.day.cq.dam.cq-dam-word (Base),Active,False,5.9.4
com.day.cq.dam.cq-dam-word (Other),Active,False,5.9.2
com.day.cq.cq-widgets-ext (Base),Active,False,5.9.2
com.day.cq.cq-widgets-ext (Other),Active,False,5.8.4
